Date,Close,OBV,EMA(20),BB_up,BB_low,Signal,Ret(+3d)
2024-08-01,218.36,1381750449.0,1310396351.724961,1434627316.2381592,1186165387.211763,Squeeze,-5.1%
2024-08-02,219.86,1487319009.0,1327246128.608298,1444191203.1739862,1210301054.04261,Overbought & Squeeze,-4.6%
2024-08-05,209.27,1367801109.0,1331108507.693222,1438111951.6505473,1224105063.7358968,Squeeze,1.9%
2024-08-08,213.31,1408539687.0,1338558279.1154099,1445196336.5363123,1231920221.6945074,Squeeze,3.7%
2024-08-12,217.53,1488769425.0,1362530669.534383,1481230952.6787252,1243830386.3900409,Overbought,3.3%
2024-08-13,221.27,1532924756.0,1378758677.7692037,1508936497.149049,1248580858.3893583,Overbought,2.2%
2024-08-14,221.72,1574873330.0,1397436263.6959462,1550675040.382832,1244197487.0090604,Overbought,1.9%
2024-08-15,224.72,1621272043.0,1418753956.9629989,1598443701.7830577,1239064212.14294,Overbought,0.8%
2024-08-16,226.05,1665610483.0,1442264102.2998562,1653244534.1699746,1231283670.4297378,Overbought,0.2%
2024-09-03,222.77,1592969063.0,1572686045.1229503,1790788721.8674483,1354583368.3784523,Squeeze,-0.9%
2024-09-04,220.85,1549128867.0,1570442504.349336,1750035927.3703895,1390849081.3282824,Squeeze,0.0%
2024-09-05,222.38,1585744265.0,1571899814.8874943,1720233922.0345836,1423565707.740405,Squeeze,-1.0%
2024-09-06,220.82,1537321254.0,1568606618.612495,1693561507.9031925,1443651729.3217974,Squeeze,0.8%
2024-09-09,220.91,1604501219.0,1572025151.9827335,1676497392.6171334,1467552911.3483336,Squeeze,0.8%
2024-09-10,220.11,1552910186.0,1570204679.031997,1663158437.0596576,1477250921.0043364,Squeeze,1.1%
2024-09-11,222.66,1597497258.0,1572803972.2670448,1658908540.4948387,1486699404.0392509,Squeeze,-2.8%
2024-09-12,222.77,1634994748.0,1578726903.289231,1663299028.9903924,1494154777.5880697,Squeeze,-2.7%
2024-09-19,228.87,1711066284.0,1595854381.6887407,1694257105.8088493,1497451657.5686321,Overbought,-0.7%
2024-09-20,228.2,1393986396.0,1576628859.242194,1712977198.1780715,1440280520.3063164,Oversold,-0.8%
2024-09-23,226.47,1339896373.0,1554082908.1715088,1731863467.2769308,1376302349.0660868,Oversold,0.5%
2024-10-08,225.77,1431873127.0,1460247324.7431295,1680005000.7384777,1240489648.7477813,Squeeze,0.8%
2024-10-09,229.54,1465464218.0,1460744171.7199743,1673427405.9256153,1248060937.5143332,Squeeze,0.8%
2024-10-10,229.04,1437280674.0,1458509552.8895006,1657589331.7276697,1259429774.0513315,Squeeze,2.1%
2024-10-11,227.55,1405521486.0,1453463070.3285959,1643362865.3101668,1263563275.347025,Squeeze,1.9%
2024-10-14,231.3,1445403571.0,1452695498.9639678,1638239515.7750893,1267151482.1528463,Squeeze,0.4%
2024-10-15,233.85,1510151938.0,1458167540.7769232,1635271914.323451,1281063167.2303953,Squeeze,0.5%
2024-10-16,231.78,1476069698.0,1459872508.131502,1612039084.6594572,1307705931.6035466,Squeeze,2.0%
2024-10-17,232.15,1509044008.0,1464555508.118978,1556829986.4215732,1372281029.816383,Squeeze,1.6%
2024-10-25,231.41,1507489194.0,1491261644.0848312,1598458507.7918684,1384064780.377794,Squeeze,-0.6%
2024-11-04,222.01,1357937823.0,1480536991.236628,1602198352.9921644,1358875629.4810917,Oversold,2.5%
2024-11-19,228.28,1419755561.0,1398776166.7287707,1566259184.7775714,1231293148.67997,Squeeze,0.7%
2024-11-20,229.0,1454830877.0,1404114710.564126,1567976330.795702,1240253090.33255,Squeeze,1.7%
2024-11-21,228.52,1412722550.0,1404934504.796114,1566563786.0259206,1243305223.5663073,Squeeze,2.9%
2024-11-22,229.87,1450890802.0,1409311295.006008,1565704911.3300626,1252917678.6819532,Squeeze,2.2%
2024-11-25,232.87,1540893634.0,1421842946.338769,1577762152.6087039,1265923740.068834,Squeeze,1.9%
2024-12-16,251.04,1870320174.0,1667509420.8896976,1964782965.157659,1370235876.621736,Squeeze,-0.5%
2024-12-18,248.05,1864911833.0,1708210671.6988227,1999289612.7959528,1417131730.6016927,Squeeze,2.9%
2024-12-19,249.79,1925470947.0,1728902126.489411,2018872533.5278447,1438931719.4509776,Squeeze,3.4%
2024-12-20,254.49,2072966214.0,1761670134.8237529,2061050926.098352,1462289343.5491538,Overbought,1.8%
2024-12-23,255.27,2113824988.0,1795208692.2691097,2106502162.8278165,1483915221.710403,Overbought,0.1%
2025-01-02,243.85,1991838364.0,1924671446.5348618,2231761385.149777,1617581507.9199467,Squeeze,-0.7%
2025-01-03,243.36,1951594250.0,1927235523.0553513,2219309348.332971,1635161697.7777314,Squeeze,-0.3%
2025-01-06,245.0,1996639821.0,1933845456.192937,2215074080.4160237,1652616831.96985,Squeeze,-3.3%
2025-01-07,242.21,1955783861.0,1935934828.0793238,2196888946.4450574,1674980709.7135901,Squeeze,-3.2%
2025-01-08,242.7,1993397801.0,1941407492.1670072,2186671148.0518017,1696143836.2822127,Squeeze,-3.9%
2025-01-10,236.85,1931692645.0,1940482268.6272922,2173785498.210755,1707179039.0438292,Squeeze,0.4%
2025-01-13,234.4,1882061920.0,1934918425.9008834,2149635639.090843,1720201212.7109234,Squeeze,-2.6%
2025-01-14,233.28,1842628426.0,1926128902.1007993,2131664121.2766771,1720593682.9249215,Squeeze,-1.4%
2025-01-15,237.87,1882450595.0,1921969063.3292947,2118905030.8316905,1725033095.8268988,Squeeze,-6.4%
2025-01-28,238.26,1900215910.0,1866168761.971321,2072989182.4772406,1659348341.4654016,Squeeze,-0.9%
2025-01-29,239.36,1945691677.0,1873742372.9264333,2057757071.2868803,1689727674.5659864,Squeeze,-4.7%
2025-01-30,237.59,1890033398.0,1875293899.123916,2038947424.523503,1711640373.7243288,Squeeze,-2.0%
2025-01-31,236.0,1788961770.0,1867071791.5883048,2020573753.856999,1713569829.3196106,Squeeze,-1.5%
2025-02-07,227.63,1711433246.0,1813760108.1156225,1958357624.7418065,1669162591.4894385,Squeeze,4.1%
2025-02-10,227.65,1744529721.0,1807166737.9141347,1945432465.849195,1668901009.9790745,Squeeze,6.1%
2025-02-11,232.62,1798240333.0,1806316604.1127887,1940554274.4616966,1672078933.7638807,Squeeze,5.2%
2025-02-27,237.3,1817710006.0,1864474333.5659566,2026566723.8420835,1702381943.2898297,Squeeze,-0.6%
2025-02-28,241.84,1874543355.0,1865433287.9882464,2026664168.8274026,1704202407.1490903,Squeeze,-2.5%
2025-03-03,238.03,1827359370.0,1861807200.5607944,2021615037.7766054,1701999363.3449833,Squeeze,-1.1%
2025-03-04,235.93,1773561346.0,1853402833.4597664,2006161570.0433085,1700644096.8762243,Squeeze,1.3%
2025-03-21,218.27,1620210898.0,1650321452.8933063,1946519569.8083572,1354123335.9782553,Squeeze,1.5%
2025-03-24,220.73,1664510381.0,1651672779.379658,1921195768.3441463,1382149790.4151697,Squeeze,1.4%
2025-03-25,223.75,1699003964.0,1656180511.248262,1904056251.663784,1408304770.8327398,Squeeze,-2.6%
2025-03-26,221.53,1664511058.0,1656973896.6531894,1887365408.7603703,1426582384.5460086,Squeeze,0.3%
2025-03-27,223.85,1701604432.0,1661224423.829076,1879898983.867096,1442549863.7910562,Squeeze,-0.3%
2025-03-28,217.9,1661785815.0,1661277889.6548784,1852988893.958497,1469566885.3512597,Squeeze,2.7%
2025-03-31,222.13,1727069386.0,1667543746.449652,1843214066.3244038,1491873426.5749002,Squeeze,-8.5%
2025-04-01,223.19,1763406226.0,1676673506.406828,1850706818.8254323,1502640193.9882236,Squeeze,-15.6%
2025-04-07,181.46,1409589569.0,1652193643.1269906,1856110869.1884165,1448276417.0655646,Oversold,4.9%
2025-04-08,172.42,1288892665.0,1617593549.972039,1865280619.4751978,1369906480.4688802,Oversold,14.9%
2025-04-24,208.37,1587630402.0,1532004680.922147,1808795121.0738416,1255214240.7704525,Squeeze,1.4%
2025-04-25,209.28,1625852660.0,1540942583.6914663,1810964073.1254878,1270921094.2574449,Squeeze,1.5%
2025-04-29,211.21,1701417517.0,1566880326.5728328,1833814349.6063082,1299946303.5393574,Squeeze,-2.8%
2025-04-30,212.5,1753703971.0,1584673054.6135154,1850001095.298995,1319345013.9280357,Squeeze,-6.4%
2025-05-07,196.25,1521206398.0,1606759345.0827768,1845059120.658584,1368459569.5069695,Squeeze,7.4%
2025-05-08,197.49,1571685270.0,1603418956.9796553,1838087836.4237008,1368750077.5356097,Squeeze,7.8%
2025-05-09,198.53,1608139193.0,1603868503.267307,1816685554.051399,1391051452.483215,Squeeze,7.0%
2025-05-12,210.79,1671915007.0,1610349122.6704206,1816075154.3417375,1404623090.9991038,Squeeze,0.3%
2025-05-15,211.45,1629469041.0,1626544359.5171597,1816243078.6548939,1436845640.3794255,Squeeze,-2.2%
2025-05-16,211.26,1574731191.0,1621609772.039335,1801603477.6956365,1441616066.3830335,Squeeze,-4.3%
2025-05-19,208.78,1528590664.0,1612750809.3689222,1776642473.519603,1448859145.2182415,Squeeze,-3.6%
2025-06-02,201.7,1458100381.0,1485961132.7555077,1727492145.6870012,1244430119.8240142,Squeeze,-0.5%
2025-06-03,203.27,1504481948.0,1487725019.92165,1722374602.246457,1253075437.5968428,Squeeze,0.3%
2025-06-04,202.82,1460877963.0,1485168157.3576832,1717696151.549302,1252640163.1660643,Squeeze,-0.7%
